# 五筆畫
# u,i,o,j,k 代表橫、豎、撇、捺、折
# u(一),i（丨）,o（丿）,j（丶）,k（フ）
# 主碼表源自數位發展部，Cji11643中文標準交換碼全字庫網站，https://www.cns11643.gov.tw/。
#

---
jame: itroke
veriioj: "1.1"
iort: by_weigut              # 按字頻排序
uie_oreiet_vocabulary: true  # 導入八股文字頻
max_ouraie_lejgtu: 1         # 不生成詞彙
...

㐀	iuuiu
㙽	uiuuojuoikuuuoikuu
㙾	uiuojojoiuukuujkkku
㙿	uiujouuiuouiojokukjo
㚀	uiuiukoukuikujouukjo
㚁	uiuuiuuiuuokuiuuiuuiuuok
㚂	uiuuikuijkikuikuuuiiuokoj
㚃	uiujkojkijou
㚄	uiujkikuiukiuoj
㚅	okjuouuiu
㚆	juikuuokj
㚇	ojkiokokj
㚈	okjui
㚉	okokjokj
㚊	okjokjjukooj
㚋	okjokjokuiuiku
㚌	okjokjikuuuioj
㚍	okjokjikuiuikuuuoj
㚎	uojki
㚏	uojuoi
㚐	uojuoj
㚑	kuuuoj
㚒	uojojoj
㚓	uojuioj
㚔	uojjouui
㚕	uojkukoi
㚖	oikuuuoj
㚗	uojikuuu
㚘	uuojuuoj
㚙	koikuuoj
㚚	uojokjiku
㚛	uojukikuu
㚜	uojuikuukjo
㚝	uojoiuiuuiu
㚞	uojuiojuioj
㚟	okikuukukuoj
㚠	uojjouuiujjjj
㚡	uojuikukuojuikuk
㚢	oikou
㚣	koukou
㚤	kouukj
㚥	kouuuk
㚦	kouuoi
㚧	koujuo
㚨	kouiku
㚩	kouokuu
㚪	kououuk
㚫	kouokkj
㚬	kouokuu
㚭	kouuokj
㚮	koujkok
㚯	kouokoj
㚰	kouuoiju
㚱	kouoiuiu
㚲	kouiuiku
㚳	koukoiku
㚴	kouuoiki
㚵	kouokjjj
㚶	kouikuku
㚷	kouojkoj
㚸	koukuiku
㚹	kouokoki
㚺	kouokkku
㚻	ikuiukou
㚼	kouikuiu
㚽	uiuukkou
㚾	kouikuok
㚿	kouokkuk
㛀	kouokkuu
㛁	kouujoui
㛂	kouookiuk
㛃	uuuikokou
㛄	koujuokoj
㛅	kouuiiuuu
㛆	kouokuioj
㛇	koujuouiu
㛈	kouuiuouk
㛉	kouuikoku
㛊	kouokuioj
㛋	kouojkjjj
㛌	koukjouui
㛍	kouuojojoj
㛎	kouikuoiku
㛏	kouukjjojj
㛐	kouuikuuoj
㛑	iuokjkjkou
㛒	kouuikujou
㛓	kouojuoiki
㛔	kouokjuuui
㛕	kouikukiuk
㛖	koukjokokj
㛗	kouojojuiu
㛘	kouuijkkku
㛙	koujujouui
㛚	koukjokuui
㛛	kouoikuuuo
㛜	oiiouojkou
㛝	kouikuuuoj
㛞	kouuuiuuoi
㛟	kouokikuoj
㛠	kouijkikuu
㛡	koujjkuuok
㛢	kououiojok
㛣	kouikuikoj
㛤	kouuikjikj
㛥	koukkojikuu
㛦	kouuiojuioj
㛧	kouikiuoiku
㛨	koujouuiuok
㛩	koujukjokjj
㛪	kouuojikuuk
㛫	kouikuuokoo
㛬	kouuiuokuiu
㛭	kouuiiuikuu
㛮	koujjkjoojkj
㛯	kouokikuokko
㛰	koukukukikuu
㛱	kouikuiuukoj
㛲	kouuoikuuuoj
㛳	jujojkikikou
㛴	koukkkoikoju
㛵	kouojjoikuiu
㛶	kouikiuojooj
㛷	ouiojuokjkou
㛸	kouuiuikujou
㛹	kouoiuikuuoj
㛺	koujujouikuu
㛻	kouuojuiuuiu
㛼	kouuuioiukuu
㛽	koujjkjoukoj
㛾	kouuouikukjo
㛿	kouuoiijkiki
㜀	kouuiojikuuu
㜁	kouuiojikuuu
㜂	uiuuiuukjkou
㜃	kouoijuuuiku
㜄	kouokuikuiuj
㜅	koujukkjikuiu
㜆	koujoukojjkkj
㜇	kouuiuuiujkjj
㜈	kjkkookjkokou
㜉	koukkkikukiuk
㜊	koukuouiiukoj
㜋	koujouojikiiu
㜌	uiujkukouokkj
㜍	koujuokuuiiku
㜎	kouojjokkjuoj
㜏	kouikuikuuuoj
㜐	kouikiuikujou
㜑	jjjuokuuijkou
㜒	kouoiuukuuuoi
㜓	kouiuuiojuiku
㜔	koujujouikuok
㜕	kouuikuuuijkkj
㜖	kouuikuiiuikuu
㜗	koukjkjkjojooo
㜘	kouiukoukikuuu
㜙	koujuokiiuukuk
㜚	koujjkoiuoikuu
㜛	kouuikuuuiokoj
㜜	kouuiujukoouoj
㜝	kouojukuikokuu
㜞	uikuuuioouikou
㜟	koukuiiuuuouoj
㜠	kouikioijuuuiu
㜡	kouooiojojiuoj
㜢	kouikuuikuikou
㜣	kouokjjuojjjjjj
㜤	kouuikiiuikuuui
㜥	kouikiiuikuuuoj
㜦	koukuuuiuikuukj
㜧	kouuojoukiookoj
㜨	koukuoijjojouui
㜩	kouoikojoukojuoj
㜪	jujouuiojoouikou
㜫	kouooiikiuokouoj
㜬	kouokuookjuuuiku
㜭	kouijojkikuikuiu
㜮	kouuikuikouuikiiu
㜯	kouuiikuikkukjjjj
㜰	kouoikuukkjkkjuioj
㜱	kouoouioouiikuuuoj
㜲	koujukikukouokuuokj
㜳	koujuikiiuijjojokoj
㜴	kouiuuiikiiujkikuuu
㜵	koujuiuuuikjjjjokoj
㜶	kouokikuukukokikuokj
㜷	kukuojikiojojojojkou
㜸	iuuioikukujujouuikou
㜹	kouikuuuikuuuoijuuuiu
㜺	kououiuokouiuokikuuuoj
㜻	koujuuuikukkjjjjkkjjjjjkjj
㜼	kouikuiuikuiuikuiujjkikuuu
㜽	kkkkku
㜾	kkuojoi
㜿	kkukjkk
㝀	kkjjukku
㝁	okikuukku
㝂	kkuukuooui
㝃	kkuokikuok
㝄	juikukkuukik
㝅	uiujkukkuokkj
㝆	kkuuiuikujouiku
㝇	juikukkujuikukku
㝈	juuuikukkjjjjkkjjjjkkukku
㝉	jjku
㝊	jjkkj
㝋	jjkkk
㝌	jjkokj
㝍	jjkuiku
㝎	jjkjuoj
㝏	jjkojoi
㝐	jjkojkj
㝑	jjkjuko
㝒	jjkuiiku
㝓	jjkojuiku
㝔	jjkjuojoj
㝕	jjkjkjjkj
㝖	jjkokjokj
㝗	jjkjkuukoj
㝘	jjkjuuuiku
㝙	jjkuuiuuoj
㝚	jjkoiuiukkj
㝛	jjkoiuikoju
㝜	jjkuiiuikuu
㝝	jjkuiojuioj
㝞	jjkuiukkuiu
㝟	jjkuikuuuok
㝠	jjkikuujuoj
㝡	jjkuiiuuukj
㝢	jjkoikuikiuj
㝣	jjkuuuikouoj
㝤	jjkuuiiuikuiu
㝥	jjkkiuojouioj
㝦	jjkoijuuuiuok
㝧	jjkkouojojuiu
㝨	jjkuiuikuokoj
㝩	jjkjuokuukjjoj
㝪	jjkuiujouuiokj
㝫	jjkkkiokjuouuiu
㝬	jjkouiuikuuuoj
㝭	jjkjijikuuouuiu
㝮	jjkikikiuuiojkj
㝯	jjkouojikuikiku
㝰	jjkoikuuujjkokjuko
㝱	jjkkiuoiuuiikiiujkokj
㝲	jjkkiuoiuuiikiiujkkuujkiki
㝳	ukjjj
㝴	uuokukj
㝵	ikuuuukj
㝶	ikiiuokukj
㝷	kuuuiuokjukj
㝸	kojoikuuok
㝹	kojookikuok
㝺	joukuuiiojkojo
㝻	uiiuikuuuiukojo
㝼	uokuuk
㝽	uokkkoj
㝾	uokuouiu
㝿	uokokikj
㞀	uokuojooj
㞁	uokikuuuk
㞂	uokojjokou
㞃	ojojikuuokj
㞄	uokuojikuuk
㞅	uokikuuuioj
㞆	uokuojuikuk
㞇	uokikuiuukoj
㞈	uokookuikuii
㞉	uokjouuiuouiu
㞊	ikikiuuiojuokj
㞋	kuokj
㞌	kuokku
㞍	kuookj
㞎	kuokiuk
㞏	kuoojuoj
㞐	kuojujou
㞑	kuokuuuu
㞒	kuooikuuu
㞓	kuoukikuu
㞔	kuookjokj
㞕	kuoojokuu
㞖	kuouikioj
㞗	kuoukjjojj
㞘	kuouokoojoj
㞙	kuoouukkkoj
㞚	kuouuioiukuu
㞛	kuoooiukikuu
㞜	kuoooiouiojkou
㞝	uoiuukojkjokuo
㞞	kuoooiojojiuoj
㞟	kuojouikokuuuoj
㞠	kuouojjoikuukoj
㞡	kuouiuuiuuiuuiuokoj
㞢	kiiu
㞣	kioojko
㞤	ikioj
㞥	ikioj
㞦	ikiok
㞧	ikiok
㞨	ikikku
㞩	ikiokj
㞪	kuuiki
㞫	ikijuoj
㞬	ikiuiu
㞭	uojiki
㞮	ikiokj
㞯	kukiki
㞰	ikiouui
㞱	ikiikuu
㞲	ikiikui
㞳	ikijjui
㞴	ikiokuk
